datetime,date_analyzed,experiment,run,type,std_conc,fluor_rfu
8/20/2019,8/22/2019,tank,1,acetone_90,0,0.16
8/20/2019,8/22/2019,tank,1,solid_std,53,203.02
8/20/2019,8/22/2019,tank,2,acetone_90,0,0.15
8/20/2019,8/22/2019,tank,2,solid_std,53,203.13
10/22/2019,10/22/2019,tank,1,acetone_90,0,0.1
10/22/2019,10/22/2019,tank,1,solid_std,53,201.27
10/22/2019,10/22/2019,tank,2,acetone_90,0,0.1
10/22/2019,10/22/2019,tank,2,solid_std,53,201.42
6/24/2019,6/27/2019,isco,1,acetone_90,0,0.35
6/24/2019,6/27/2019,isco,1,solid_std,53,198.85
6/24/2019,6/27/2019,isco,2,acetone_90,0,0.35
6/24/2019,6/27/2019,isco,2,solid_std,53,199.27
